usdot_number,prefix,docket_number,legal_name,dba_name,city,state
3373687,MC,1081971,5TH DIMENSION LOGISTIX INC,,HAZLET,NJ
2520478,MC,870678,5TH DIMENSION LOGISTIX INC.,,HAZLET,NJ
3394848,MC,1091704,6 BROTHERS LOGISTICS LLC,,LINDEN,NJ
3580813,MC,1209479,6 STAR AUTO TRANSPORT & TOWING LLC,,JERSEY CITY,NJ
3570229,MC,1202376,609 EXPRESS LLC,,TRENTON,NJ
3428537,MC,1110190,609 MOTORING LLC,,BURLINGTON CITY,NJ
3816881,MC,1379695,61 LOGISTICS LLC,,TOMS RIVER,NJ
2994813,MC,20882,613 TRUCKING LLC,613 TRUCKING LLC,UNION CITY,NJ
402174,MC,273384,62 ORCHARD PLACE INC.,H. L. TRANSPORTATION,WAYNE,NJ
1717126,MC,638072,63 EXPRESS LLC,,LODI,NJ
4182601,MC,1610631,64 LOGISTICS LLC,,LINCOLN PARK,NJ
2873814,MC,964000,64 TRANSPORT LLC,,CLIFFSIDE PARK,NJ
3014806,MC,75077,640 LIMO LLC,ADVANCED TAXI & LIMO,ALPINE,NJ
3343211,MC,1067447,66 TRANSPORT INC,,VINELAND,NJ
708438,MC,327157,68-70 JOSEPH ST. CORP.,,NEWARK,NJ
,MC,1396492,6G METAL WORKING LLC,,WESTVILLE,NJ
3831471,MC,1390022,7 BLUE LLC,,HACKENSACK,NJ
,MC,114354,7 BLUE LLC,,HACKENSACK,NJ
3511068,MC,1162170,7 BROTHERS TOWING LLC,,EAST ORANGE,NJ
1877738,MC,677549,7 C'S TRANSPORTATION LLC,,HAMMONTON,NJ
3402300,MC,1095342,7 FREIGHT LLC,,E BRUNSWICK,NJ
4070997,MC,1622506,7 HEAVEN 2 TRUCKING CORP,,FARMINGDALE,NJ
3792987,MC,1362196,7 HEAVEN TRUCKING LLC,7 HEAVEN TRUCKING 1 CORPORATION,FARMINGDALE,NJ
3654268OOS,MC,1260794,7 L TRANSPORTATION LLC,,ORANGE,NJ
1918722,MC,687160,7 MILE SHUTTLE LLC.,,AVALON,NJ
4053304,MC,1536439,7 MILES TRUCKING,,FREEHOLD,NJ
4093686,MC,1560387,7 MOTORS LLC,,WAYNE,NJ
3376992OOS,MC,1083342,7 MULTI SERVICE & TRANSPORT CORP,,LINDEN,NJ
2498322,MC,865699,7 SEAS TRANSPORT INC,,FRANKLINVILLE,NJ
3603656,MC,1224948,7 STAR DELIVERY INC,,OXFORD,NJ
1866404,MC,674741,7 STAR SOLUTIONS LLC,,SOMERSET,NJ
2943105OOS,MC,995700,7 STAR TRANSPORT LLC,,JACKSON,NJ
